Transaction_Amount,Transaction_Hour,Transaction_Frequency,Account_Age_Days,International_Transaction,New_Device,Failed_Attempts,Distance_From_Home,Online_Transaction,Fraud
109.59,7,3,1852,0,0,1,14.23,0,0
58.08,0,4,1880,1,0,0,68.93,0,0
127.45,23,3,237,1,0,1,23.13,1,1
305.83,21,5,2315,0,0,1,32.86,1,0
52.76,3,5,1447,0,0,0,6.52,1,0
52.77,11,7,1269,1,0,0,2.49,0,0
323.5,23,2,1053,1,1,1,2.17,0,1
143.66,2,4,2481,1,0,2,15.97,1,0
41.7,12,4,2470,0,0,2,31.53,0,0
114.73,19,4,2402,0,0,4,37.19,1,1
41.95,5,8,198,0,0,0,31.86,1,0
41.86,10,9,1650,0,0,1,60.98,0,0
84.94,22,6,1418,0,0,2,1.34,1,0
9.84,3,3,1976,1,0,2,48.33,0,0
11.88,19,5,2327,0,0,0,27.02,1,0
38.0,15,5,674,1,1,2,4.83,1,0
24.22,6,4,1251,0,0,0,28.67,1,0
91.31,21,3,30,0,0,0,17.92,0,0
26.9,10,2,1193,0,0,3,11.12,1,0
16.24,23,3,1525,0,0,1,7.12,1,0
288.78,0,3,438,0,0,2,15.6,1,0
53.21,6,6,1899,0,1,0,6.83,1,0
71.35,11,6,1000,1,0,2,2.16,1,0
16.04,6,2,232,0,0,0,46.79,1,0
38.69,22,2,969,0,0,0,22.46,1,0
74.51,6,3,167,0,0,1,11.3,1,0
21.09,9,10,2017,0,1,3,14.8,0,0
97.1,15,1,810,0,0,0,50.03,1,0
36.57,7,4,731,0,0,1,9.64,1,0
49.81,8,3,2376,0,0,2,11.96,1,0
36.54,8,8,1264,0,1,0,36.32,0,0
425.08,1,1,2355,0,0,2,5.59,1,0
65.79,12,8,454,0,1,1,26.92,0,0
23.16,12,8,114,0,1,0,14.24,0,0
151.8,22,5,1671,0,0,2,17.34,0,0
19.67,22,9,892,0,0,0,38.65,0,0
82.18,3,5,1332,0,0,1,124.52,1,0
9.4,23,10,1101,0,0,1,44.52,1,0
17.67,11,9,547,1,1,1,4.38,1,0
81.2,16,4,1653,0,0,1,6.36,0,0
139.56,1,5,810,0,0,1,13.19,1,0
79.15,12,7,1074,0,0,1,31.76,0,0
59.4,17,8,1581,0,0,0,17.8,1,0
49.35,14,4,1439,0,0,1,58.02,0,0
15.2,7,2,1541,0,0,1,1.25,0,0
32.46,14,8,251,0,0,2,7.48,1,0
42.07,0,7,1372,0,0,0,6.19,0,0
191.93,19,5,2077,0,0,1,34.08,1,0
94.03,9,9,1888,1,1,1,15.63,0,1
11.44,11,8,1901,0,1,0,0.38,0,0
92.21,4,6,1049,0,0,1,37.12,0,0
45.37,8,6,310,0,0,1,11.23,1,0
33.89,22,5,174,0,0,0,7.54,1,0
122.94,7,4,1291,0,0,0,5.04,0,0
186.98,15,9,1621,0,0,0,72.97,0,0
169.23,13,2,2410,0,0,2,71.2,1,0
28.81,12,8,1030,0,0,3,1.99,0,0
48.95,22,5,1559,0,0,2,6.62,1,0
92.88,20,4,1978,0,0,2,25.97,1,1
176.89,12,5,887,0,0,1,27.75,0,0
41.3,4,3,1330,0,1,2,13.52,1,0
55.39,15,8,1989,0,0,1,21.01,1,0
22.06,10,7,1250,0,0,0,30.32,0,0
20.16,21,4,2285,0,1,2,75.15,1,1
150.28,4,2,440,0,0,2,32.28,1,1
258.85,12,3,2227,0,1,0,2.92,1,0
62.05,10,2,1264,0,1,1,31.63,1,0
181.91,18,7,2127,0,0,0,1.75,1,0
95.74,2,5,1144,0,0,0,17.45,0,0
34.98,14,6,11,0,1,1,18.71,0,0
95.72,6,2,1960,1,0,2,37.66,1,0
310.45,6,6,2328,0,0,1,0.29,0,0
64.34,5,3,2327,1,1,2,51.94,0,0
318.83,2,3,199,0,0,1,27.26,1,0
4.86,12,3,31,0,0,0,0.79,1,0
151.7,6,6,2071,1,1,0,4.36,0,1
72.75,4,5,1751,0,0,1,1.01,1,0
49.45,22,8,1579,0,0,2,36.3,1,0
73.1,17,4,1497,0,0,1,4.69,0,0
9.14,21,5,577,0,0,2,1.17,0,0
53.53,7,5,1982,0,0,1,3.71,0,0
95.31,16,7,1433,0,0,3,20.5,1,0
292.33,19,6,815,1,0,1,17.1,0,0
39.72,0,1,923,0,0,1,7.07,0,0
29.71,13,2,2336,0,0,1,71.59,1,0
40.38,16,7,777,0,0,1,48.24,0,0
166.57,9,9,1143,0,1,0,9.44,1,0
92.64,11,10,57,0,0,2,16.09,1,0
39.26,15,7,753,0,0,0,18.18,0,0
111.42,13,7,1115,0,0,0,35.28,1,0
73.48,15,2,1311,0,1,0,13.96,1,0
175.68,7,5,390,0,0,0,19.77,1,0
33.05,22,5,319,0,0,3,13.3,1,0
48.05,9,7,551,1,0,0,35.97,1,0
45.06,16,5,776,0,0,1,20.29,1,0
15.43,17,6,1216,0,0,3,43.97,1,0
89.67,19,4,193,0,0,0,1.38,1,0
86.58,15,11,1991,1,0,0,58.67,1,0
67.03,16,5,648,0,0,0,42.79,0,0
52.74,15,6,1470,0,0,2,42.66,0,0
16.19,18,3,603,0,0,0,3.78,1,0
43.79,23,1,1266,0,0,0,7.65,1,0
47.34,23,5,1854,0,0,1,98.13,1,0
29.9,7,5,10,0,0,2,75.03,1,0
56.75,5,5,2419,0,0,2,6.42,0,0
99.89,5,6,728,1,0,0,14.18,0,0
439.74,20,1,292,0,0,0,4.24,1,0
79.41,8,11,2226,0,0,0,7.62,1,0
86.28,3,1,1219,0,0,1,5.11,1,0
61.9,11,5,2179,0,0,0,2.11,1,0
9.79,11,6,450,0,0,2,21.66,1,0
64.94,22,5,648,0,0,2,6.89,0,0
70.83,16,5,483,1,0,1,121.47,1,1
783.09,14,3,1867,0,0,3,18.11,0,0
55.02,8,5,950,0,0,1,11.12,0,0
90.16,6,2,669,0,0,0,61.09,1,0
64.41,9,7,301,0,0,2,24.24,1,0
20.72,15,6,256,0,0,1,3.4,0,0
209.1,11,5,1951,0,0,2,17.22,1,0
141.45,6,4,197,0,0,1,14.54,1,0
147.09,17,4,1556,1,0,2,36.22,0,0
26.86,14,6,566,0,0,1,29.59,1,0
271.18,5,11,1157,0,0,0,11.58,1,0
16.41,11,6,256,0,0,0,15.85,1,0
119.92,10,4,1370,0,0,0,18.29,0,0
596.13,19,0,968,0,0,1,13.72,0,0
24.77,2,5,2349,0,0,1,2.85,1,0
37.85,1,3,1836,0,0,1,58.96,1,0
73.67,5,2,2208,0,1,2,27.91,1,1
40.31,23,4,2208,1,0,0,15.86,0,0
14.14,21,5,133,0,0,1,21.08,0,0
71.42,4,8,2329,0,0,1,5.99,1,0
23.05,17,2,1904,0,0,0,18.91,0,0
107.08,15,4,1373,0,1,2,34.26,0,1
26.59,7,9,1762,0,0,0,19.07,0,0
314.17,19,2,668,0,0,0,16.38,0,0
30.47,21,5,1595,1,0,2,15.52,1,0
48.32,10,6,990,0,0,2,35.85,0,1
150.43,9,6,1490,0,0,2,34.99,1,0
19.48,23,6,734,0,1,0,34.66,0,0
83.72,11,5,1563,0,0,0,7.06,0,0
246.45,20,5,655,0,0,2,24.05,1,0
13.36,5,5,1836,1,0,1,37.73,0,0
80.21,19,5,1559,0,0,1,20.63,1,0
86.48,4,2,2121,1,0,1,37.74,1,0
145.74,22,2,1426,0,0,0,48.17,1,0
19.36,8,7,1708,0,0,2,4.78,1,0
17.81,15,4,527,0,1,2,9.14,1,0
112.39,21,5,338,0,0,1,22.99,1,0
89.75,13,2,699,0,0,1,8.55,1,0
85.67,21,4,488,1,0,1,70.92,1,1
94.3,7,6,400,1,0,1,5.4,0,0
33.78,19,3,421,0,0,0,11.04,1,0
84.12,18,6,1291,0,0,2,129.21,1,1
89.4,13,3,878,0,0,3,5.24,0,0
32.64,6,9,516,1,0,1,14.89,0,0
430.86,4,0,1732,0,0,1,9.41,0,0
107.11,17,2,1953,0,0,1,41.49,0,0
20.26,1,3,967,0,0,0,9.07,1,0
128.58,10,9,1772,0,0,0,4.4,0,0
25.16,21,4,1744,0,0,3,67.63,0,0
146.51,7,7,2351,0,0,1,9.55,0,0
212.43,0,6,772,0,0,2,33.85,1,0
29.35,21,9,1510,0,0,1,8.58,1,0
174.75,11,4,1863,0,1,2,4.92,0,0
100.76,1,7,1738,0,0,0,40.54,1,0
151.72,17,3,2176,0,0,2,1.43,1,0
444.43,6,5,1724,0,0,0,10.09,0,0
52.18,16,4,1769,0,0,1,37.86,1,0
31.38,21,2,1352,0,0,1,17.94,1,0
27.4,22,1,1428,0,0,3,29.25,0,0
29.49,13,2,1646,0,0,4,1.73,0,0
61.74,23,5,559,0,1,1,34.64,1,0
93.8,6,5,2015,0,0,2,4.72,1,0
87.94,21,5,2193,0,0,2,41.35,0,0
152.5,2,8,768,0,0,0,20.76,0,0
67.56,5,6,333,0,0,1,33.6,0,0
285.3,19,3,1935,0,1,2,5.98,1,0
51.18,1,3,120,0,0,2,12.58,0,0
1012.49,16,5,1833,0,0,1,40.5,1,0
124.67,11,3,1148,1,0,2,60.42,0,0
28.3,11,2,1730,0,0,2,6.42,1,0
22.85,16,6,733,0,0,3,39.42,1,0
108.04,9,6,2422,0,0,1,2.87,1,0
53.33,2,6,1517,0,0,0,13.87,0,0
136.18,19,6,776,0,0,1,69.81,0,0
107.04,17,7,841,0,0,0,72.57,1,0
62.0,12,2,2170,0,0,1,8.8,1,0
28.59,11,7,1303,0,0,2,5.36,1,0
14.66,16,4,2377,0,0,0,4.05,1,0
42.67,3,5,184,0,0,3,16.39,1,0
157.02,22,5,1855,0,0,2,2.41,0,0
82.61,9,5,1236,0,0,1,11.03,0,0
19.19,10,4,1968,0,0,0,0.43,0,0
79.3,5,4,135,0,0,2,7.51,0,0
98.03,5,3,1004,0,1,2,57.63,1,1
27.55,8,3,1500,0,0,2,14.81,1,0
77.77,14,7,2311,0,0,0,1.92,0,0
70.68,1,5,1861,0,0,1,26.02,1,0
21.26,3,4,2349,0,0,2,77.88,1,0
95.37,4,9,208,0,0,1,15.56,1,0
116.84,16,5,1232,0,1,0,24.47,1,0
196.97,7,5,696,1,1,0,62.96,1,0
191.29,7,6,1486,0,0,1,13.58,1,0
16.82,21,6,791,0,0,0,27.31,1,0
26.11,11,6,950,1,0,0,14.53,1,0
111.61,20,4,2275,0,0,0,81.84,0,0
111.47,7,3,827,1,0,1,17.52,1,0
111.61,18,4,2080,0,1,0,54.21,1,1
3142.37,2,5,646,0,0,0,17.69,1,0
118.02,17,2,720,0,0,0,27.59,1,0
207.59,20,6,2386,0,0,0,12.2,0,0
173.12,18,0,1268,1,0,1,62.39,0,0
127.92,18,9,931,0,0,1,26.03,1,0
48.65,14,3,1686,0,0,0,0.5,1,0
142.45,5,10,128,1,0,1,0.39,1,1
30.79,15,4,1073,1,0,0,28.19,1,0
52.62,7,4,269,0,0,0,3.03,1,0
41.04,15,7,765,0,0,0,31.48,1,0
72.38,17,5,15,0,0,1,9.72,1,0
674.96,19,4,2368,0,0,0,19.35,0,0
10.31,15,10,75,1,0,1,4.79,0,0
132.46,10,5,1179,1,0,0,7.07,1,0
13.29,6,7,38,0,1,0,14.36,0,0
41.6,16,3,1676,0,0,0,27.38,1,0
198.14,16,4,669,0,0,0,4.23,1,0
71.11,11,3,909,0,0,2,8.26,1,0
22.7,12,2,913,0,0,1,5.8,1,0
32.61,9,3,370,0,0,2,49.63,0,0
131.58,6,6,1628,0,1,0,26.1,1,0
32.12,13,7,1957,0,0,0,15.8,1,0
82.8,22,5,2083,0,0,1,73.41,0,0
69.8,0,3,2128,0,0,2,33.28,1,0
34.76,16,3,1122,0,0,0,67.29,0,0
569.04,3,7,186,0,0,0,22.76,1,0
125.7,20,3,2084,0,0,1,3.71,1,0
8.8,4,4,1322,0,0,1,28.13,0,0
80.35,19,7,584,0,1,1,5.63,1,0
34.41,23,4,540,0,0,3,10.61,1,0
156.4,22,2,502,0,0,0,17.81,0,0
30.19,6,3,2335,0,0,1,4.28,1,0
59.46,9,2,1271,0,0,1,0.53,1,0
110.5,16,8,1170,0,1,1,9.9,1,0
158.5,6,6,1196,0,1,1,43.48,1,1
20.08,0,12,856,0,0,0,0.39,1,0
47.73,6,4,302,0,1,5,2.9,1,1
41.47,23,3,1061,0,0,1,41.11,1,0
34.7,10,1,265,0,0,0,9.13,1,0
389.73,8,6,914,0,0,2,69.6,0,1
99.98,11,2,1785,0,0,2,11.96,1,0
18.9,2,4,1788,0,1,3,39.83,0,1
166.98,3,4,674,1,0,0,7.49,1,0
556.77,3,5,274,0,0,1,1.6,1,0
187.25,12,4,1990,0,1,1,53.33,1,0
14.59,22,5,1597,0,0,1,65.53,0,0
41.09,18,7,410,0,0,1,30.78,1,0
236.73,9,6,786,0,0,0,36.75,1,0
32.86,4,4,1224,0,1,0,0.18,1,0
103.94,6,5,1157,1,1,0,35.04,1,0
144.7,23,3,1464,0,0,2,15.98,0,0
26.39,15,1,2460,1,1,2,15.07,1,0
62.83,0,4,2358,0,1,2,19.42,1,0
2.61,11,5,2271,0,0,1,7.91,1,0
23.94,1,6,883,0,0,2,29.79,0,0
51.8,6,4,1578,0,0,0,8.76,0,0
19.15,10,5,383,0,0,0,20.45,1,0
341.18,12,7,1204,0,1,1,3.68,1,0
15.96,1,5,2401,0,0,0,28.1,1,0
42.95,6,5,871,0,0,0,5.26,1,0
76.0,14,9,310,0,1,0,4.67,1,0
281.82,10,3,1529,0,0,1,0.61,0,0
15.87,1,5,2494,0,0,0,3.25,1,0
213.4,6,3,2159,0,0,1,6.62,1,0
67.37,3,5,2067,0,0,1,6.29,1,0
24.99,10,4,2427,0,1,0,9.93,0,0
105.86,1,3,135,0,0,3,1.4,1,1
81.37,15,7,392,0,1,0,68.41,0,0
36.59,6,5,2384,0,0,0,3.17,1,0
71.51,12,3,459,1,0,0,30.26,1,0
45.36,4,3,532,0,0,0,19.15,0,0
74.7,16,6,1864,1,1,0,20.12,0,0
129.3,20,7,1019,0,0,0,2.79,1,0
325.71,11,7,951,1,0,2,6.97,1,0
19.34,18,4,282,0,0,2,37.84,1,1
562.86,6,4,2022,0,1,0,15.58,1,1
9.47,5,1,511,0,1,0,15.27,1,1
57.3,7,4,1260,1,0,1,19.74,1,0
120.1,12,3,2398,0,1,0,14.22,1,0
88.32,4,2,2329,0,0,1,41.01,1,0
35.78,1,6,1824,0,0,0,34.53,1,0
54.16,8,2,2452,0,1,1,9.53,0,0
40.73,10,6,2252,0,0,1,41.79,1,0
36.99,23,6,1616,0,0,1,18.28,1,0
155.96,5,6,1206,0,0,0,24.7,0,0
