Age,Income,Credit_Score,Loan_Amount,Employment_Years,Existing_Debt,Savings,Loan_Approved
59,40358,302,60554,10,72146,41846,0
49,23267,662,19199,9,71966,88983,1
35,102745,807,86412,29,39922,68821,1
63,109588,573,55948,17,79364,38991,1
28,58513,805,78781,17,42913,80057,1
41,46092,314,77750,16,55677,7971,0
59,31338,491,71262,25,49841,30139,0
39,20412,784,51600,7,46332,86445,0
43,27543,327,81898,14,25032,78067,0
31,125891,338,67483,7,37846,81257,1
31,53496,572,23297,16,59474,85742,1
44,80692,530,35448,11,44936,38711,1
56,109084,385,31172,26,29794,7530,1
60,112920,773,47874,7,61588,12116,1
44,143555,425,12657,24,70984,66794,1
23,64425,836,89386,13,50331,1282,0
42,58756,444,30425,3,28141,80473,1
22,38888,824,31685,0,9074,2898,0
44,55735,511,29578,0,6406,5135,0
64,67295,324,33831,18,23291,7629,1
50,137474,693,12906,15,41568,86120,1
58,134352,366,66413,13,46851,90087,1
22,103042,532,59028,20,54823,66031,1
41,105999,408,12287,15,23312,34380,1
53,37955,445,38660,4,43108,18071,0
32,57841,410,80758,8,66918,21074,0
42,90640,527,65504,25,34171,91724,1
64,85510,410,64720,29,41779,68843,1
45,54911,769,39701,27,68828,40901,1
47,79031,333,88300,1,12411,12205,1
62,108726,668,22674,17,57009,56661,1
48,27357,724,88560,5,15422,6906,0
36,52479,817,28874,8,42468,3591,1
35,81476,581,48642,0,32371,63987,1
64,64811,619,70160,8,57022,64370,1
23,56208,742,22602,24,71229,81685,1
57,40150,614,93801,15,51196,55400,0
27,91180,676,30931,12,26715,26150,1
41,63286,588,99377,8,27605,32852,1
29,132856,736,34192,20,31174,43870,1
59,88450,576,51542,12,9956,53756,1
38,41352,802,47520,8,76373,57481,1
24,75069,815,69772,10,69252,2283,1
45,131888,649,63762,3,61949,34691,1
34,130448,745,55106,1,62646,2125,0
29,34397,649,86121,28,70017,68065,0
46,61555,436,30559,5,63037,27170,1
22,66959,542,38742,13,6548,9438,1
40,20728,842,74669,3,73294,21095,0
48,70517,339,85199,5,23177,17154,1
27,139180,528,26754,18,24022,9004,1
64,86234,847,8972,5,5542,10752,1
28,59954,522,75831,1,60428,56426,0
55,67280,305,46873,17,22740,27819,1
34,99459,621,99661,12,59353,93051,1
37,36779,767,14903,8,56532,25217,1
56,83932,374,8020,22,16052,89708,1
60,92936,303,46755,18,47076,33994,1
24,44466,417,90956,12,53420,16036,0
22,56939,803,91988,10,671,78275,1
26,89896,740,50648,0,163,98756,1
62,55270,493,14516,23,41424,50416,1
24,79163,691,7396,29,53744,10587,1
49,102637,325,89082,21,70331,96665,1
38,71934,734,24129,6,10634,1645,1
46,84895,472,6591,24,4798,31930,1
64,52307,599,16303,20,22420,82835,1
54,74098,625,35561,14,29300,31090,1
30,80921,709,76719,0,10749,88489,1
56,25486,417,97108,11,25121,53142,0
34,28335,524,91231,25,37487,27475,0
51,106900,831,12314,6,33361,19888,1
35,146020,412,24623,14,21223,44732,1
28,141954,439,72675,20,72930,82623,1
34,122795,300,70082,18,14056,47305,1
43,109112,389,88624,27,28380,47037,1
60,117203,619,38130,28,26035,10346,1
41,31130,849,56756,24,30620,1587,0
36,107508,438,31292,0,19877,13763,1
38,125955,810,91206,16,55316,60165,1
44,138324,558,74274,16,64041,70615,1
46,80566,309,7469,2,53352,37116,0
45,86703,560,58947,11,30911,86751,1
61,47192,471,27534,5,32784,92353,1
